Mobiletimestamp,MobileAccl_X,MobileAccl_Y,MobileAccl_Z,MobileGyro_X,MobileGyro_Y,MobileGyro_Z, Watchtimestamp,Watch_X,Watch_Y,Watch_Z,WatchGyro_X,WatchGyro_Y,WatchGyro_Z
1.41753E+14,1.283409467,0.066738343,0.406911657,-0.021235148,0.006871541,0.011484782,6.47571E+13,1.196478533,0.033856966,0.33747431,-0.002654373,-0.039581497,-0.001019724
1.41753E+14,1.106252967,0.035656561,0.23342331,-0.02204895,0.01135254,0.01067098,6.47571E+13,1.088322967,-0.025553048,0.311627667,-0.002654373,-0.036740793,4.55402E-05
1.41753E+14,0.9338983,0.020605623,0.131112197,-0.005366007,0.004023234,0.008229574,6.47571E+13,1.022586167,-0.025152542,0.23808761,0.000186333,-0.034965351,0.001110804
1.41753E+14,0.829023353,0.004899132,0.087134005,0.00440979,-0.009414673,0.004562378,6.47571E+13,0.914582267,-0.007553808,0.188421487,0.000896509,-0.032124647,4.55401E-05
1.41753E+14,0.80139161,0.013743023,0.164562603,0.006861369,-0.011856079,0.003336589,6.47571E+13,0.82096895,-0.002488874,0.16239683,0.001251597,-0.028928854,0.001820981
1.41753E+14,0.766475363,0.031750441,0.20122524,0.006042481,-0.006571452,0.003336589,6.47571E+13,0.717324583,0.00206957,0.117426712,0.001961418,-0.025024038,0.00182098
1.41753E+14,0.709214517,0.051550554,0.216995975,0.002380371,0.004018148,0.00537618,6.47571E+13,0.639128067,-0.013220854,0.155244073,0.001961418,-0.019697715,0.000755717
1.41754E+14,0.60742156,0.034910222,0.027324597,-0.000874837,0.01542155,0.005371094,6.47571E+13,0.578088453,-0.05068484,0.114580632,0.0055123,-0.015436659,4.55402E-05
1.41754E+14,0.47130872,0.008444043,-0.062273047,-0.002502441,0.02112325,0.005783081,6.47572E+13,0.51740678,-0.11241457,0.09809478,0.006932652,-0.012240865,4.55403E-05
1.41754E+14,0.419151943,0.026985941,0.116961498,-0.001286825,0.018676758,0.003748576,6.47572E+13,0.480749767,-0.062387064,0.089721917,0.007642829,-0.008689984,0.000755717
1.41754E+14,0.36216291,0.00274958,0.125361263,-0.001698812,0.01175944,0.002934774,6.47572E+13,0.484389937,-0.11432746,0.095114986,0.006222476,-0.003718748,0.000400628
1.41754E+14,0.321639697,0.029748184,0.03098615,-0.005360921,0.005655924,0.004964193,6.47572E+13,0.410093313,-0.077037334,0.061900893,0.005867388,-0.000878044,0.000400628
1.41754E+14,0.33757305,0.006677541,0.045117778,-0.006174723,0.000350952,0.004160563,6.47572E+13,0.31593291,-0.08226231,0.089469113,0.008353006,0.009064424,-0.002795165
1.41754E+14,0.32606761,0.000983536,-0.037634968,-0.008209228,-0.001271566,0.003753662,6.47572E+13,0.280748687,-0.099893436,0.107097905,0.009063181,0.011905129,-0.001729901
1.41754E+14,0.316426913,-0.019929322,0.027862588,-0.004140218,-0.002080282,0.002115885,6.47572E+13,0.216760953,-0.12438062,0.099261205,0.007642828,0.004448278,0.002886245
1.41754E+14,0.285508157,-0.005013717,0.065991263,0.001561482,-5.5949E-05,0.001719157,6.47572E+13,0.210886953,-0.14426428,0.074251732,0.005153838,-0.002658367,0.002535329
1.41754E+14,0.246191027,-0.015283515,0.0349888,-0.002919515,0.003209432,0.000488281,6.47572E+13,0.184052783,-0.14492132,0.081191737,0.004443662,-0.006919425,0.000759889
1.41754E+14,0.17131837,-0.057544823,-0.097008877,-0.007400513,0.005650838,0.000493368,6.47572E+13,0.149846077,-0.039928377,0.063735247,0.005153838,-0.010825394,0.000404801
1.41754E+14,0.15634314,-0.029533867,0.031857074,-0.01268514,0.008097331,8.13802E-05,6.47573E+13,0.126960435,-0.046709478,0.0336591,0.001602957,-0.014021187,0.000759889
1.41754E+14,0.18162855,0.006442595,-0.002195597,-0.015126546,0.014602661,0.003748576,6.47573E+13,0.11354669,-0.001097679,0.006590722,-0.00088266,-0.018282245,0.000759889
1.41754E+14,0.08737151,0.025175479,0.013816833,-0.017161052,0.022338867,0.002934774,6.47573E+13,0.100037572,-0.018226177,0.015269041,-0.003013189,-0.01934751,0.001825153
1.41754E+14,0.02695338,0.031991748,-0.013405542,-0.010243734,0.026418049,0.004974365,6.47573E+13,0.124510765,-0.08751133,-0.006368995,-0.00656407,-0.016861893,-0.001015552
1.41754E+14,0.075944265,0.051044471,0.058284107,0.005228678,0.028045653,0.004969279,6.47573E+13,0.1343263,-0.00118807,0.007196466,-0.007629335,-0.014731364,-0.002435905
1.41754E+14,0.062600451,0.021536643,0.225449186,0.010106404,0.018676758,0.002929688,6.47573E+13,0.125921567,-0.00753364,0.022278586,-0.00478863,-0.010470307,-0.005276609
